quarter,parent1_name,parent1_code,parent2_name,parent2_code,category_name,category_code,quarterly_avg_click_ratio,quarterly_max_click_ratio,sales_group,sales_amount
Q3,가구/인테리어,50000004,수납가구,50000103,선반,50001321,53.07158333333333,61.97024,가구,1386242
Q4,가구/인테리어,50000004,수납가구,50000103,선반,50001321,40.93573666666666,43.73552,가구,1429464
Q1,가구/인테리어,50000004,수납가구,50000103,소품수납함,50001330,92.81279666666669,100.0,가구,1513071
Q2,가구/인테리어,50000004,수납가구,50000103,소품수납함,50001330,65.41499333333333,71.21809,가구,1391469
Q3,가구/인테리어,50000004,수납가구,50000103,소품수납함,50001330,53.07858,66.44502,가구,1386242
Q4,가구/인테리어,50000004,수납가구,50000103,소품수납함,50001330,35.682156666666664,37.10304,가구,1429464
Q1,가구/인테리어,50000004,수납가구,50000103,수납장,50001320,98.02310333333332,100.0,가구,1513071
Q2,가구/인테리어,50000004,수납가구,50000103,수납장,50001320,72.24484666666666,78.78348,가구,1391469
Q3,가구/인테리어,50000004,수납가구,50000103,수납장,50001320,55.94913666666667,66.8169,가구,1386242
Q4,가구/인테리어,50000004,수납가구,50000103,수납장,50001320,42.42239333333333,44.22528,가구,1429464
Q1,가구/인테리어,50000004,수납가구,50000103,신발장,50001326,94.08584,100.0,가구,1513071
Q2,가구/인테리어,50000004,수납가구,50000103,신발장,50001326,83.49504999999999,94.80309,가구,1391469
Q3,가구/인테리어,50000004,수납가구,50000103,신발장,50001326,66.43121666666667,81.49044,가구,1386242
Q4,가구/인테리어,50000004,수납가구,50000103,신발장,50001326,45.93076,48.49468,가구,1429464
Q1,가구/인테리어,50000004,수납가구,50000103,우산꽂이,50001327,46.26906,60.27433,가구,1513071
Q2,가구/인테리어,50000004,수납가구,50000103,우산꽂이,50001327,87.16390666666666,100.0,가구,1391469
Q3,가구/인테리어,50000004,수납가구,50000103,우산꽂이,50001327,53.34200666666667,71.77329,가구,1386242
Q4,가구/인테리어,50000004,수납가구,50000103,우산꽂이,50001327,34.61179333333333,40.074,가구,1429464
Q1,가구/인테리어,50000004,수납가구,50000103,잡지꽂이,50001328,88.75037999999999,100.0,가구,1513071
Q2,가구/인테리어,50000004,수납가구,50000103,잡지꽂이,50001328,70.44000333333334,83.89908,가구,1391469
Q3,가구/인테리어,50000004,수납가구,50000103,잡지꽂이,50001328,55.67389333333333,67.11391,가구,1386242
Q4,가구/인테리어,50000004,수납가구,50000103,잡지꽂이,50001328,38.37205666666667,40.03213,가구,1429464
Q1,가구/인테리어,50000004,수납가구,50000103,코너장,50001329,99.28672333333331,100.0,가구,1513071
Q2,가구/인테리어,50000004,수납가구,50000103,코너장,50001329,80.98857333333332,85.15857,가구,1391469
Q3,가구/인테리어,50000004,수납가구,50000103,코너장,50001329,59.037823333333336,69.28236,가구,1386242
Q4,가구/인테리어,50000004,수납가구,50000103,코너장,50001329,51.1407,52.84404,가구,1429464
Q1,가구/인테리어,50000004,수납가구,50000103,행거,50001319,96.57419333333333,100.0,가구,1513071
Q2,가구/인테리어,50000004,수납가구,50000103,행거,50001319,66.78305333333334,81.4765,가구,1391469
Q3,가구/인테리어,50000004,수납가구,50000103,행거,50001319,39.77689333333333,50.65836,가구,1386242
Q4,가구/인테리어,50000004,수납가구,50000103,행거,50001319,42.19858,48.03959,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,서랍장,50001339,92.80758,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,서랍장,50001339,51.45873333333333,57.40142,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,서랍장,50001339,44.93858666666667,54.15643,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,서랍장,50001339,34.070240000000005,35.78539,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,소파,50001342,97.22910666666668,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,소파,50001342,70.32546,83.04399,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,소파,50001342,57.50589,61.02691,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,소파,50001342,47.89504,54.983,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,소품가구,50001344,91.01519333333331,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,소품가구,50001344,78.62954,83.27428,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,소품가구,50001344,55.89661,73.48505,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,소품가구,50001344,35.79197666666667,39.87369,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,수납장,50001340,94.04346333333336,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,수납장,50001340,62.42141333333333,66.74652,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,수납장,50001340,49.12506,57.33901,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,수납장,50001340,38.729796666666665,39.68486,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,아동침실세트,50001345,16.995006666666665,21.5918,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,아동침실세트,50001345,64.67034,100.0,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,아동침실세트,50001345,72.89203666666667,80.29944,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,아동침실세트,50001345,22.66876333333333,40.89834,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,옷장,50001337,98.22055333333331,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,옷장,50001337,65.22209666666667,72.59501,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,옷장,50001337,49.25356,56.29722,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,옷장,50001337,45.81287,50.69156,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,의자,50001341,85.78937666666667,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,의자,50001341,40.609406666666665,43.77921,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,의자,50001341,37.88186,40.05382,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,의자,50001341,30.923706666666664,31.94673,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,책꽂이,50001336,93.29724,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,책꽂이,50001336,55.74568,64.64617,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,책꽂이,50001336,45.91067,53.80897,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,책꽂이,50001336,31.22260333333333,32.45359,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,책상,50001332,90.57362,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,책상,50001332,37.76855666666666,43.89578,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,책상,50001332,30.568436666666667,32.8464,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,책상,50001332,27.967316666666665,33.39415,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,책상의자,50001333,90.7251,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,책상의자,50001333,88.83804666666667,92.46864,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,책상의자,50001333,42.99516666666667,79.32582,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,책상의자,50001333,20.23669,21.97617,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,책상의자세트,50001334,95.42439,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,책상의자세트,50001334,59.38137,75.95292,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,책상의자세트,50001334,47.77478,54.64115,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,책상의자세트,50001334,34.66303333333334,35.37865,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,책장,50001335,94.37818666666668,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,책장,50001335,62.69383666666667,70.72888,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,책장,50001335,49.58564333333334,57.64487,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,책장,50001335,35.30892333333333,38.07566,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,침대,50001237,90.96046666666666,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,침대,50001237,51.96860333333333,57.51165,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,침대,50001237,42.898293333333335,47.31519,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,침대,50001237,35.98676666666666,37.38575,가구,1429464
Q1,가구/인테리어,50000004,아동/주니어가구,50000104,행거,50001338,93.41125,100.0,가구,1513071
Q2,가구/인테리어,50000004,아동/주니어가구,50000104,행거,50001338,46.85250333333334,62.4082,가구,1391469
Q3,가구/인테리어,50000004,아동/주니어가구,50000104,행거,50001338,35.96362,39.67311,가구,1386242
Q4,가구/인테리어,50000004,아동/주니어가구,50000104,행거,50001338,61.85088666666667,69.58342,가구,1429464
Q1,가구/인테리어,50000004,아웃도어가구,50000106,기타아웃도어가구,50001059,76.43152333333333,94.46896,가구,1513071
Q2,가구/인테리어,50000004,아웃도어가구,50000106,기타아웃도어가구,50001059,93.07677666666666,100.0,가구,1391469
Q3,가구/인테리어,50000004,아웃도어가구,50000106,기타아웃도어가구,50001059,68.83706666666667,75.66602,가구,1386242
Q4,가구/인테리어,50000004,아웃도어가구,50000106,기타아웃도어가구,50001059,52.22225666666666,61.14063,가구,1429464
Q1,가구/인테리어,50000004,아웃도어가구,50000106,야외벤치,50001058,61.09810333333333,80.86941,가구,1513071
Q2,가구/인테리어,50000004,아웃도어가구,50000106,야외벤치,50001058,85.62605,100.0,가구,1391469
Q3,가구/인테리어,50000004,아웃도어가구,50000106,야외벤치,50001058,53.45208,63.07372,가구,1386242
Q4,가구/인테리어,50000004,아웃도어가구,50000106,야외벤치,50001058,28.34120333333333,36.40835,가구,1429464
Q1,가구/인테리어,50000004,아웃도어가구,50000106,야외의자,50001055,52.06288333333333,74.1221,가구,1513071
Q2,가구/인테리어,50000004,아웃도어가구,50000106,야외의자,50001055,95.54209,100.0,가구,1391469
Q3,가구/인테리어,50000004,아웃도어가구,50000106,야외의자,50001055,61.78260333333333,83.95754,가구,1386242
Q4,가구/인테리어,50000004,아웃도어가구,50000106,야외의자,50001055,27.61755,39.1932,가구,1429464
Q1,가구/인테리어,50000004,아웃도어가구,50000106,야외테이블,50001054,63.61272666666667,86.77463,가구,1513071
Q2,가구/인테리어,50000004,아웃도어가구,50000106,야외테이블,50001054,94.91033,100.0,가구,1391469
Q3,가구/인테리어,50000004,아웃도어가구,50000106,야외테이블,50001054,57.03066333333334,75.82163,가구,1386242
Q4,가구/인테리어,50000004,아웃도어가구,50000106,야외테이블,50001054,28.26992333333333,38.56824,가구,1429464
Q1,가구/인테리어,50000004,아웃도어가구,50000106,정원그네,50001056,45.6797,70.96536,가구,1513071
Q2,가구/인테리어,50000004,아웃도어가구,50000106,정원그네,50001056,96.70455666666668,100.0,가구,1391469
Q3,가구/인테리어,50000004,아웃도어가구,50000106,정원그네,50001056,61.32347000000001,82.08269,가구,1386242
Q4,가구/인테리어,50000004,아웃도어가구,50000106,정원그네,50001056,31.9001,44.43691,가구,1429464
Q1,가구/인테리어,50000004,아웃도어가구,50000106,정자,50001057,51.59641666666666,74.05608,가구,1513071
Q2,가구/인테리어,50000004,아웃도어가구,50000106,정자,50001057,94.59524,100.0,가구,1391469
Q3,가구/인테리어,50000004,아웃도어가구,50000106,정자,50001057,72.14457,73.4355,가구,1386242
Q4,가구/인테리어,50000004,아웃도어가구,50000106,정자,50001057,39.22135666666667,55.07887,가구,1429464
Q1,가구/인테리어,50000004,주방가구,50000102,그릇장/컵보드,50001317,87.76124666666665,100.0,가구,1513071
Q2,가구/인테리어,50000004,주방가구,50000102,그릇장/컵보드,50001317,57.88032333333333,66.85618,가구,1391469
Q3,가구/인테리어,50000004,주방가구,50000102,그릇장/컵보드,50001317,43.19887666666667,49.76152,가구,1386242
Q4,가구/인테리어,50000004,주방가구,50000102,그릇장/컵보드,50001317,32.47627666666667,35.39909,가구,1429464
Q1,가구/인테리어,50000004,주방가구,50000102,기타주방가구,50001318,87.98534333333333,95.2576,가구,1513071
Q2,가구/인테리어,50000004,주방가구,50000102,기타주방가구,50001318,95.41721666666666,100.0,가구,1391469
Q3,가구/인테리어,50000004,주방가구,50000102,기타주방가구,50001318,76.70051000000001,89.4796,가구,1386242
Q4,가구/인테리어,50000004,주방가구,50000102,기타주방가구,50001318,52.47985,55.6453,가구,1429464
Q1,가구/인테리어,50000004,주방가구,50000102,레인지대,50001313,88.55530333333333,100.0,가구,1513071
Q2,가구/인테리어,50000004,주방가구,50000102,레인지대,50001313,60.26139333333333,69.26522,가구,1391469
Q3,가구/인테리어,50000004,주방가구,50000102,레인지대,50001313,36.17899333333333,54.36124,가구,1386242
Q4,가구/인테리어,50000004,주방가구,50000102,레인지대,50001313,22.346663333333336,23.18689,가구,1429464
Q1,가구/인테리어,50000004,주방가구,50000102,식탁/의자,50001236,84.40111,100.0,가구,1513071
Q2,가구/인테리어,50000004,주방가구,50000102,식탁/의자,50001236,57.22769,60.81125,가구,1391469
Q3,가구/인테리어,50000004,주방가구,50000102,식탁/의자,50001236,45.50457333333333,54.90077,가구,1386242
Q4,가구/인테리어,50000004,주방가구,50000102,식탁/의자,50001236,32.55097,34.13399,가구,1429464
Q1,가구/인테리어,50000004,주방가구,50000102,왜건/카트,50001315,96.24944,100.0,가구,1513071
Q2,가구/인테리어,50000004,주방가구,50000102,왜건/카트,50001315,80.88387666666667,95.70785,가구,1391469
Q3,가구/인테리어,50000004,주방가구,50000102,왜건/카트,50001315,62.29643000000001,75.82127,가구,1386242
Q4,가구/인테리어,50000004,주방가구,50000102,왜건/카트,50001315,43.49984333333333,45.23986,가구,1429464
Q1,가구/인테리어,50000004,주방가구,50000102,주방수납장,50001316,95.04276,100.0,가구,1513071
Q2,가구/인테리어,50000004,주방가구,50000102,주방수납장,50001316,70.69712333333332,80.15759,가구,1391469
Q3,가구/인테리어,50000004,주방가구,50000102,주방수납장,50001316,54.09065666666667,67.72371,가구,1386242
Q4,가구/인테리어,50000004,주방가구,50000102,주방수납장,50001316,39.77207333333333,40.75149,가구,1429464
Q1,가구/인테리어,50000004,침실가구,50000100,거울,50001232,96.43031666666668,100.0,가구,1513071
Q2,가구/인테리어,50000004,침실가구,50000100,거울,50001232,85.22871333333333,93.33353,가구,1391469
Q3,가구/인테리어,50000004,침실가구,50000100,거울,50001232,62.892860000000006,78.93291,가구,1386242
Q4,가구/인테리어,50000004,침실가구,50000100,거울,50001232,43.80251666666667,45.50128,가구,1429464
Q3,가구/인테리어,50000004,침실가구,50000100,매트리스,50018859,73.11643,100.0,가구,1386242
Q4,가구/인테리어,50000004,침실가구,50000100,매트리스,50018859,74.29605666666667,85.2579,가구,1429464
Q1,가구/인테리어,50000004,침실가구,50000100,부부테이블,50001308,87.36218000000001,93.26178,가구,1513071
Q2,가구/인테리어,50000004,침실가구,50000100,부부테이블,50001308,82.23668333333335,100.0,가구,1391469
Q3,가구/인테리어,50000004,침실가구,50000100,부부테이블,50001308,46.3406,57.72343,가구,1386242
Q4,가구/인테리어,50000004,침실가구,50000100,부부테이블,50001308,34.248176666666666,38.17733,가구,1429464
Q1,가구/인테리어,50000004,침실가구,50000100,서랍장,50007189,93.34961,100.0,가구,1513071
Q2,가구/인테리어,50000004,침실가구,50000100,서랍장,50007189,69.47497666666668,76.90823,가구,1391469
Q3,가구/인테리어,50000004,침실가구,50000100,서랍장,50007189,47.91009,58.1328,가구,1386242
Q4,가구/인테리어,50000004,침실가구,50000100,서랍장,50007189,39.479573333333335,42.29442,가구,1429464
Q1,가구/인테리어,50000004,침실가구,50000100,장롱/붙박이장,50001230,98.14463,100.0,가구,1513071
Q2,가구/인테리어,50000004,침실가구,50000100,장롱/붙박이장,50001230,76.82892666666667,87.97634,가구,1391469
Q3,가구/인테리어,50000004,침실가구,50000100,장롱/붙박이장,50001230,55.095220000000005,63.84889,가구,1386242
Q4,가구/인테리어,50000004,침실가구,50000100,장롱/붙박이장,50001230,47.16209,49.97745,가구,1429464
Q1,가구/인테리어,50000004,침실가구,50000100,침대,50001228,92.02165666666669,100.0,가구,1513071
Q2,가구/인테리어,50000004,침실가구,50000100,침대,50001228,67.87505666666667,72.68486,가구,1391469
Q3,가구/인테리어,50000004,침실가구,50000100,침대,50001228,51.39545,60.6108,가구,1386242
Q4,가구/인테리어,50000004,침실가구,50000100,침대,50001228,39.60392333333333,44.00548,가구,1429464
Q1,가구/인테리어,50000004,침실가구,50000100,침실세트,50001309,88.80381999999999,100.0,가구,1513071
Q2,가구/인테리어,50000004,침실가구,50000100,침실세트,50001309,47.74034333333333,59.78563,가구,1391469
Q3,가구/인테리어,50000004,침실가구,50000100,침실세트,50001309,44.418146666666665,51.16926,가구,1386242
Q4,가구/인테리어,50000004,침실가구,50000100,침실세트,50001309,35.695056666666666,39.72717,가구,1429464
Q1,가구/인테리어,50000004,침실가구,50000100,협탁,50001307,84.54179,100.0,가구,1513071
Q2,가구/인테리어,50000004,침실가구,50000100,협탁,50001307,59.24695,65.16242,가구,1391469
Q3,가구/인테리어,50000004,침실가구,50000100,협탁,50001307,46.20007,53.05,가구,1386242
Q4,가구/인테리어,50000004,침실가구,50000100,협탁,50001307,37.652440000000006,37.88734,가구,1429464
Q1,가구/인테리어,50000004,침실가구,50000100,화장대,50001231,92.14391333333332,100.0,가구,1513071
Q2,가구/인테리어,50000004,침실가구,50000100,화장대,50001231,66.27007666666667,71.34801,가구,1391469
Q3,가구/인테리어,50000004,침실가구,50000100,화장대,50001231,51.76487666666666,61.848,가구,1386242
Q4,가구/인테리어,50000004,침실가구,50000100,화장대,50001231,38.49453333333333,39.3043,가구,1429464
