category1,category1_id,category2,category2_id,category3,category3_id,age_10s_percent,age_20s_percent,age_30s_percent,age_40s_percent,age_50s_percent,age_60s_plus_percent,device_Mobile_percent,device_PC_percent,gender_Female_percent,gender_Male_percent
가구/인테리어,50000004,서재/사무용가구,50000105,책장,50001346,0.691834747,5.102120964,30.95497098,41.66240374,16.36959597,5.219073598,81.15863574,18.84136426,69.65788431,30.34211569
가구/인테리어,50000004,서재/사무용가구,50000105,캐비닛,50023419,0,0,0,0,0,0,0,0,0,0
가구/인테리어,50000004,서재/사무용가구,50000105,학원/학교책걸상,50023459,0,0,0,0,0,0,0,0,0,0
가구/인테리어,50000004,솜류,50000111,방석솜,50000980,0.1015416,3.276466782,16.03709715,26.9157882,32.35174855,21.31735771,75.23656034,24.76343966,83.32544006,16.67455994
가구/인테리어,50000004,솜류,50000111,베개솜/속통,50001132,0.220241571,6.482932845,26.42223237,34.10328508,23.85864745,8.912660685,87.2000508,12.7999492,71.12940118,28.87059882
가구/인테리어,50000004,솜류,50000111,요솜/매트솜,50001133,0.072368383,2.699562118,17.12472788,32.77176745,30.97935172,16.35222246,83.04741856,16.95258144,81.4550514,18.5449486
가구/인테리어,50000004,솜류,50000111,이불솜,50001134,0.258847938,3.745550192,16.25506124,28.16014541,31.53308899,20.04730623,88.12500677,11.87499323,70.93358406,29.06641594
가구/인테리어,50000004,솜류,50000111,쿠션솜,50000979,2.15828846,7.005914596,20.01612542,32.1991473,27.13212656,11.48839766,83.24412373,16.75587627,78.53338885,21.46661115
가구/인테리어,50000004,수납가구,50000103,CD/DVD장,50001325,2.121251458,12.43490558,22.79886382,28.5894464,24.64805325,9.407479488,73.18531739,26.81468261,42.89581397,57.10418603
가구/인테리어,50000004,수납가구,50000103,고가구,50001323,0.193889255,3.2750377,13.31246312,22.45029592,34.77597113,25.99234288,87.40654758,12.59345242,77.97241086,22.02758914
가구/인테리어,50000004,수납가구,50000103,공간박스,50001322,0.275112848,5.125382803,21.04257841,35.18446352,28.56875566,9.80370676,71.89420714,28.10579286,60.77291001,39.22708999
가구/인테리어,50000004,수납가구,50000103,나비장,50001324,0.12466558,2.555708794,7.52688016,18.4821568,43.84448058,27.46610809,88.36056796,11.63943204,86.33526393,13.66473607
가구/인테리어,50000004,수납가구,50000103,선반,50001321,0.397836266,5.894939954,25.93326977,33.23029192,24.08474479,10.45891729,80.79485819,19.20514181,61.78762742,38.21237258
가구/인테리어,50000004,수납가구,50000103,소품수납함,50001330,1.131952139,13.18144672,33.3018817,30.28262964,16.83543759,5.266652212,81.57527789,18.42472211,76.53836928,23.46163072
가구/인테리어,50000004,수납가구,50000103,수납장,50001320,0.23193736,4.843514002,25.35211852,35.5961967,24.63402734,9.342206074,82.76151289,17.23848711,73.37128383,26.62871617
가구/인테리어,50000004,수납가구,50000103,신발장,50001326,0.153519768,4.086307048,23.73380944,33.682336,26.85994774,11.48408001,81.79149903,18.20850097,66.44475258,33.55524742
가구/인테리어,50000004,수납가구,50000103,우산꽂이,50001327,0.203141113,4.682577417,23.45648802,39.48462847,23.7703988,8.402766182,60.07996256,39.92003744,58.40233533,41.59766467
가구/인테리어,50000004,수납가구,50000103,잡지꽂이,50001328,0.866185587,9.535276153,30.55547715,34.89122459,18.61583059,5.536005933,59.5968078,40.4031922,68.59862084,31.40137916
가구/인테리어,50000004,수납가구,50000103,코너장,50001329,0.117258358,3.747434227,28.74478204,37.20715844,22.14958786,8.033779071,80.76838826,19.23161174,66.68015502,33.31984498
가구/인테리어,50000004,수납가구,50000103,행거,50001319,0.368922305,5.94498794,22.39370995,33.02363121,26.54001179,11.72873681,80.88629126,19.11370874,65.84204629,34.15795371
가구/인테리어,50000004,수예,50000114,기타수예,50000851,1.721132836,11.19463613,27.81099593,31.87583652,20.23277441,7.164624183,79.87217719,20.12782281,85.77152399,14.22847601
가구/인테리어,50000004,수예,50000114,뜨개질,50001140,1.809394712,14.3349789,28.42044316,27.46025444,20.1515295,7.823399283,87.85948155,12.14051845,95.83427988,4.165720119
가구/인테리어,50000004,수예,50000114,보석십자수,50006874,5.680582503,10.19101772,17.21486914,32.4079882,24.85981431,9.645728126,89.21169609,10.78830391,85.0263186,14.9736814
가구/인테리어,50000004,수예,50000114,수예용품/부자재,50000850,0.955373837,9.423274793,23.716004,31.37086445,24.63346526,9.901017661,78.49993255,21.50006745,74.31316285,25.68683715
가구/인테리어,50000004,수예,50000114,원단,50000849,0.90005964,8.761102543,22.66818927,28.24359962,26.29717456,13.12987437,81.11843847,18.88156153,85.55061005,14.44938995
가구/인테리어,50000004,수예,50000114,자수,50001141,1.917733913,10.72902211,22.98387029,29.62552238,24.98048883,9.763362486,84.51058687,15.48941313,90.67321075,9.32678925
가구/인테리어,50000004,수예,50000114,퀼트/펠트,50001142,4.109999986,11.25393023,20.86432847,30.94078219,24.74077193,8.090187197,82.62784545,17.37215455,89.23528521,10.76471479
가구/인테리어,50000004,아동/주니어가구,50000104,서랍장,50001339,0.139184134,2.368286533,34.89488673,43.74065782,13.81502379,5.041960987,89.37871101,10.62128899,80.89173825,19.10826175
가구/인테리어,50000004,아동/주니어가구,50000104,소파,50001342,0.176233395,1.260583251,37.09551575,52.05366352,6.536688808,2.877315268,86.7795895,13.2204105,82.7568523,17.2431477
가구/인테리어,50000004,아동/주니어가구,50000104,소품가구,50001344,0.133943957,2.717264954,47.9091431,31.16921458,11.39277623,6.677657185,88.0567298,11.9432702,67.17796226,32.82203774
가구/인테리어,50000004,아동/주니어가구,50000104,수납장,50001340,0.038453371,2.253606022,61.35814496,30.52663802,3.830829247,1.992328384,90.23349439,9.76650561,78.4963078,21.5036922
가구/인테리어,50000004,아동/주니어가구,50000104,아동침실세트,50001345,0.099270104,5.823951251,68.29916095,20.31767184,4.219053024,1.240892823,86.64592301,13.35407699,84.39775588,15.60224412
가구/인테리어,50000004,아동/주니어가구,50000104,옷장,50001337,0.075659185,3.01445734,59.37716196,29.6404373,5.467571345,2.424712871,88.9479803,11.0520197,80.77599795,19.22400205
가구/인테리어,50000004,아동/주니어가구,50000104,의자,50001341,0.166850336,2.770457808,46.16616757,37.98013512,8.12843385,4.78795532,91.89693289,8.103067114,75.73032142,24.26967858
가구/인테리어,50000004,아동/주니어가구,50000104,책꽂이,50001336,0.074181825,2.535992041,62.02971945,28.9270125,4.295291481,2.137802704,90.08079011,9.919209893,88.05735918,11.94264082
가구/인테리어,50000004,아동/주니어가구,50000104,책상,50001332,0.437879139,1.609074314,32.24211064,54.53397648,7.716028887,3.460930547,89.89502607,10.10497393,74.24655094,25.75344906
가구/인테리어,50000004,아동/주니어가구,50000104,책상의자,50001333,0.394531862,3.331148536,21.69729517,40.60726843,19.12357496,14.84618105,93.07263071,6.927369292,67.97021469,32.02978531
가구/인테리어,50000004,아동/주니어가구,50000104,책상의자세트,50001334,0.109413718,1.601382382,55.99402116,37.58671742,3.142964928,1.565500392,90.79839096,9.201609043,80.18436991,19.81563009
가구/인테리어,50000004,아동/주니어가구,50000104,책장,50001335,0.057875032,2.204211744,64.25010985,27.02671301,3.985178923,2.475911445,91.61440875,8.385591254,83.18855991,16.81144009
가구/인테리어,50000004,아동/주니어가구,50000104,침대,50001237,0.547825909,3.298942367,36.86001047,44.99717252,9.878963386,4.417085349,89.18546643,10.81453357,69.19110915,30.80889085
가구/인테리어,50000004,아동/주니어가구,50000104,행거,50001338,0.038239294,2.045354393,56.35402868,35.13049524,4.298982359,2.132900035,90.3635176,9.636482399,84.41945364,15.58054636
가구/인테리어,50000004,아웃도어가구,50000106,기타아웃도어가구,50001059,0.179381296,2.820844541,13.39504538,30.78797628,33.01029939,19.80645311,76.25160467,23.74839533,36.30905265,63.69094735
가구/인테리어,50000004,아웃도어가구,50000106,야외벤치,50001058,0.209540184,4.437870797,19.19954187,30.04775815,29.17210351,16.93318549,71.02590724,28.97409276,52.86665191,47.13334809
가구/인테리어,50000004,아웃도어가구,50000106,야외의자,50001055,0.159750802,3.913943944,18.35910934,32.52218728,29.20001697,15.84499166,79.00646328,20.99353672,53.91235795,46.08764205
가구/인테리어,50000004,아웃도어가구,50000106,야외테이블,50001054,0.273787388,4.096227189,15.87639813,28.58375202,31.46870014,19.70113514,84.7581103,15.2418897,57.4465296,42.5534704
가구/인테리어,50000004,아웃도어가구,50000106,정원그네,50001056,0.506719501,3.637630439,13.75223369,26.11924646,32.02155515,23.96261476,87.32339711,12.67660289,58.63397232,41.36602768
가구/인테리어,50000004,아웃도어가구,50000106,정자,50001057,0.215378331,2.61001879,11.58342451,27.93657664,35.32007391,22.33452782,83.19179463,16.80820537,46.08890816,53.91109184
가구/인테리어,50000004,인테리어소품,50000108,기타장식용품,50000968,1.633256179,10.30505245,30.27957595,31.51199835,19.18643173,7.083685337,79.45180532,20.54819468,71.97992136,28.02007864
가구/인테리어,50000004,인테리어소품,50000108,냉장고자석,50000965,0.892895328,11.8525173,34.73819143,30.97788489,15.68292561,5.855585426,85.23219634,14.76780366,75.70751296,24.29248704
가구/인테리어,50000004,인테리어소품,50000108,도어벨,50000963,0.923463493,7.836961785,25.15901164,31.85844157,24.3054941,9.916627411,77.22258608,22.77741392,70.61469858,29.38530142
가구/인테리어,50000004,인테리어소품,50000108,디자인문패,50000964,0.231547831,6.131485198,25.33770397,33.56395131,24.74626726,9.989044438,63.32727671,36.67272329,55.07863959,44.92136041
가구/인테리어,50000004,인테리어소품,50000108,미술작품,50006309,1.292921548,6.841243611,23.56072358,31.96952614,24.38922811,11.946357,83.78136064,16.21863936,68.79944531,31.20055469
가구/인테리어,50000004,인테리어소품,50000108,스탠드,50001118,0.595726461,8.858959396,29.29931673,32.67299194,20.38158064,8.191424831,82.28077192,17.71922808,66.73212543,33.26787457
가구/인테리어,50000004,인테리어소품,50000108,시계,50001120,0.717187155,6.197134425,25.4079253,34.09590048,22.90962199,10.67223065,79.44402544,20.55597456,59.51128598,40.48871402
